Name,Release_Date,Genre,Cast,Duration,Country,IMDB
Twice Round the Daffodils,4/2/1962,Comedy,"RonaldLewis,JulietMills,DonaldHouston,DonaldSinden,KennethWilliams",89,UnitedKingdom,6.3
Woodland Grey,7/8/2021,"Thriller,Horror,Mystery","RyanBlakely,ArtHindle,JennyRaven,TristanD.Lalla,KatharineKing",91,Canada,4.2
We Burn Like This,4/1/2021,Drama,"MadeleineCoghlan,KendraMylnechuk,DeveryJacobs,CasideeRiley,AngeloRizzo",81,UnitedStatesofAmerica,4.6
#Unknown,1/10/2022,"Horror,Thriller","JuddNelson,HalOzsan,TomSizemore,DeniseBoutte,MasterP",97,UnitedStatesofAmerica,4.1
Machine Gun Kelly's Life In Pink,6/27/2022,"Documentary,Music","MachineGunKelly,MeganFox,ConorMcGregor,ModSun,TrippieRedd",102,UnitedStatesofAmerica,6.1
Love You Anyway,6/27/2022,Drama,"ReignEdwards,AnnaGraceBarlow,AkiraAkbar,CharlieGillespie,GillianWhite",80,UnitedStatesofAmerica,5.3
The Moderns,4/15/1988,"Comedy,Romance,Drama","KeithCarradine,KevinJ.O'Connor,GailardSartain,LindaFiorentino,GenevièveBujold",126,UnitedStatesofAmerica,6.6
Gaslight,6/27/2022,Thriller,"MelanPerez,",85,UnitedStatesofAmerica,4.7
Dark Light,9/8/2021,"Mystery,Horror","DamianChapa,FrankyLankester,LukeO'BrienChapa,RichardCarrington,FayLawrence-Grant",91,UnitedStatesofAmerica,2.7
The Lost Tomb of Alexander the Great,3/4/2019,"TVMovie,Documentary","CalliopeLimneos-Papakosta,FredrikT.Hiebert,",44,UnitedKingdom,6.4
The L-Shaped Room,11/20/1962,Drama,"TomBell,BernardLee,LeslieCaron,BrockPeters,AvisBunnage",126,UnitedKingdom,7.3
The Inugamis,10/16/1976,"Mystery,Horror","TeruhikoAoi,YokoShimada,MiekoTakamine,AkijiKobayashi,MikiSanjo",146,Japan,7.1
The Cruel Sea,2/24/1953,"History,War,Drama","JackHawkins,JohnStratton,DonaldSinden,MeredithEdwards,GerardHeinz",126,UnitedKingdom,7.4
Son of the White Mare,10/22/1981,"Adventure,Fantasy,Animation","GyörgyCserhalmi,MariSzemes,VeraPap,GyulaSzabó,FerencSzalma",86,Hungary,7.8
Rio Sex Comedy,9/16/2010,"Comedy,Drama","FisherStevens,IrèneJacob,Jean-MarcRoulot,JérômeKircher,CharlotteRampling",124,"Brazil,France",4.7
Lost Command,5/1/1966,"Action,War","GeorgeSegal,AnthonyQuinn,MauriceSarfati,MichèleMorgan,AlainDelon",129,UnitedStatesofAmerica,6.3
King Tut In Color,9/27/2021,Documentary,"KerryShale,",45,UnitedKingdom,6.9
Johnny Corncob,5/1/1973,"Adventure,Animation,Fantasy","GyörgyCserhalmi,JánosKörmendi,ErzsébetKútvölgyi,AntalFarkas,AnikóNagy",78,Hungary,7.5
Hathi,11/26/1998,Drama,"NannyAma,VenkateshDaggubati,BegumJamila,PyareJan,",96,Canada,7.1
Demon Pond,10/20/1979,"Romance,Fantasy","GôKatô,HatsuoYamaya,TôruAbe,HisashiIgawa,TsutomuYamazaki",124,Japan,7
Deep in My Heart,12/9/1954,"Music,Drama,Comedy","MerleOberon,WalterPidgeon,DoeAvedon,PaulHenreid,JoséFerrer",132,UnitedStatesofAmerica,6.4
A Time to Love and a Time to Die,7/9/1958,"Drama,Romance,War","JohnGavin,JockMahoney,DonDeFore,KeenanWynn,LiselottePulver",132,UnitedStatesofAmerica,7.6
Losing Addison,6/27/2022,Thriller,"SherilynFenn,TedRooney,ReineSwart,JanaLeeHamblin,SydneyWinbush",90,UnitedStatesofAmerica,5.3
Green Ghost and the Masters of the Stone,4/29/2022,"Action,Comedy,Fantasy","KunoBecker,MarkoZaror,RenéeVictor,CainVelasquez,SofiaPernas",81,UnitedStatesofAmerica,4.3
Back to Lyla,6/27/2022,"Comedy,Romance","HassieHarrison,EmmaKenney,TracieThoms,DanubeR.Hermosillo,E.R.Ruiz",95,UnitedStatesofAmerica,5.9
A Beautiful Curse,3/20/2021,"Fantasy,Drama","OliviaVinall,IbenHjejle,MarkStrepan,",92,"Denmark,France",4.7
Walk East on Beacon!,6/1/1952,Drama,"FinlayCurrie,VirginiaGilmore,GeorgeMurphy,KarelStepanek,LouisaHorton",98,UnitedStatesofAmerica,5.9
A Woman at Her Window,11/10/1976,Drama,"RomySchneider,GastoneMoschin,DeliaBoccardo,UmbertoOrsini,VictorLanoux",110,"Germany,Italy,France",6.1
Children's Play,6/19/2001,"Horror,Thriller,Mystery,Fantasy,Drama","KarinViard,CharlesBerling,LudivineSagnier,AurélienRecoing,ManuelaGourary",85,France,5.2
Three Years,8/29/1990,Drama,"SabineAzéma,LucasBelvaux,JacquesVilleret,MarylineEven,Jean-MarieWinling",93,France,5.5
They Came to Cordura,6/1/1959,Western,"GaryCooper,TabHunter,RitaHayworth,VanHeflin,EdwardPlatt",123,UnitedStatesofAmerica,6.4
The Tall Men,9/22/1955,Western,"RobertRyan,ClarkGable,HarryShannon,JaneRussell,RobertAdler",122,UnitedStatesofAmerica,6.7
The Loved One,10/11/1965,Comedy,"RobertMorse,MiltonBerle,JonathanWinters,JohnGielgud,JamesCoburn",122,UnitedStatesofAmerica,7
The Last Hurrah,12/31/1958,Drama,"DonaldCrisp,PatO’Brien,BasilRathbone,SpencerTracy,JeffreyHunter",117,UnitedStatesofAmerica,7.3
The Big City,9/27/1963,Drama,"AnilChatterjee,SefalikaDevi,JayaBachchan,HarenChatterjee,MadhabiMukherjee",131,India,8.2
Stunt Rock,6/30/1978,"Action,Drama,Music","GrantPage,MoniquevandeVen,PhilHartman,MargaretGerard,CurtisHyde",86,Australia,5.4
Saga,1/1/2016,"Comedy,Horror","TedSkjellum,TerjeSødal,TrymSigurdsen,JørnSteen,TrondHannemyr",88,Norway,4.5
His Majesty Minor,10/10/2007,"Fantasy,Comedy","VincentCassel,SergioPeris-Mencheta,MélanieBernier,Rufus,ClaudeBrasseur",101,"Spain,France",4
Repeat Performance,5/22/1947,"Drama,Crime,Mystery","VirginiaField,RichardBasehart,NatalieSchafer,LouisHayward,JoanLeslie",91,UnitedStatesofAmerica,6.8
Diary for My Children,5/3/1984,Drama,"SándorOszter,AnnaPolony,TeriFöldi,JanNowicki,VilmosKun",106,Hungary,7.4
The Leopard,3/14/1984,"Adventure,Action","ClaudeBrasseur,DominiqueLavanant,MariusWeyers,MaxMégy,",96,France,4.1
15 Février 1839,1/26/2001,"History,Drama","MattHill,FrédéricGilles,SylvieDrapeau,LucPicard,DenisTrudel",114,Canada,7.1
Dunkirk,3/20/1958,"War,Drama","JohnMills,RobertUrquhart,RichardAttenborough,BernardLee,SeanBarrett",134,UnitedKingdom,7
But Always,9/4/2014,"Drama,Romance","NicholasTse,GaoYuanyuan,QinHao,TongDawei,DuHaitao",106,China,5.2
Oniroku Dan: Best of SM,3/16/1984,Documentary,"NaomiTani,TerumiAzuma,IzumiShima,JunkoMabuki,AkioShinguji",65,Japan,5.3
Bells Are Ringing,6/23/1960,"Music,Comedy,Romance","JeanStapleton,FredClark,DeanMartin,RuthStorey,JudyHolliday",126,UnitedStatesofAmerica,6.9
A Bullet Is Waiting,9/4/1954,"Crime,Drama,Romance","JeanSimmons,BrianAherne,RoryCalhoun,StephenMcNally,",90,UnitedStatesofAmerica,5.5
Two Tickets to Paradise,6/25/2022,"Comedy,Romance,TVMovie","RyanPaevey,Mary-MargaretHumes,AshleyWilliams,KimeeBalmilero,CodyEasterbrook",84,UnitedStatesofAmerica,6.8
The Haunting of the Tower of London,6/27/2022,"History,Horror","RoryWilton,NatalieMartins,JakeWatkins,GregDraven,RichardRowden",89,UnitedKingdom,4.3
Revealer,6/23/2022,Horror,"BishopStevens,CaitoAase,SammyDelPurgatorio,PhilBogdan,BuzzLeer",86,UnitedStatesofAmerica,4.5
Prince Philip: A Lifetime of Duty,6/1/2021,Documentary,"QueenElizabethIIoftheUnitedKingdom,PrincePhilip,HugoVickers,PrinceEdward,DukeofKent,PennyJunor",51,N/A,4.6
Poser,6/9/2021,"Drama,Music","SylvieMix,RachelKeefe,AbdulSeidu,AujolieBaker,AngelaJernigan",87,UnitedStatesofAmerica,6
"Look Away, Look Away",10/1/2021,Documentary,N/A,89,UnitedStatesofAmerica,4.5
Down with the King,7/7/2021,Drama,"DavidKrumholtz,SharonWashington,JamieNeumann,FreddieGibbs,BobTarasuk",100,UnitedStatesofAmerica,5.6
7th &amp; Union,6/2/2021,Drama,"OmarChaparro,FelipeEsparza,GreggDaniel,LeeCoc,EdyGanem",98,"Mexico,UnitedStatesofAmerica",6.1
Aspirational Slut,3/12/2022,"Comedy,Romance","RavenScott,EllieJameson,JakeNordwind,AdrianGonzalez,JoshMargolin",14,UnitedStatesofAmerica,5.3
Arsène Wenger: Invincible,11/11/2021,Documentary,"ArsèneWenger,AlexFerguson,ThierryHenry,IanWright,EmmanuelPetit",95,"France,UnitedKingdom",7.7
Ah Girls Go Army Again,6/23/2022,"Comedy,Drama","AppleChan,BelleChua,",120,Singapore,5.2
Warriors Two,12/28/1978,"Drama,Action","CasanovaWong,LeungKar-Yan,DeanShek,FungHak-On,SammoHung",95,HongKong,7.2
Under the Sun,1/25/2006,Drama,"JaninaStopper,AstridM.Fünderich,MaximilianWaldmann,UweRohde,ClaudiaSchmidt",60,Germany,6.8
The Triplets of Belleville,6/11/2003,"Animation,Comedy,Drama","Jean-ClaudeDonda,LinaBoudreau,SuzyFalk,BettyBonifassi,Mari-LouGauthier",80,"Belgium,Canada,France,Latvia,UnitedKingdom",7.7
Reach for the SKY,10/1/2015,Documentary,N/A,90,"Belgium,SouthKorea",7.2
Plenty,9/20/1985,"Drama,Romance","AndydelaTour,IanWallace,JohnSerret,MerylStreep,TraceyUllman",124,"UnitedStatesofAmerica,UnitedKingdom",6
Island Fishermen,6/24/1959,"Adventure,Drama","JulietteMayniel,CharlesVanel,Jean-ClaudePascal,GeorgesPoujouly,JoëlleBernard",87,France,5.8
Outrage,9/27/1950,"Drama,Crime","RitaLupino,MalaPowers,TodAndrews,RaymondBond,RobertClarke",75,UnitedStatesofAmerica,6.8
Morituri,8/24/1965,"Thriller,Drama,Action,War","JanetMargolin,WilliamRedfield,WallyCox,YulBrynner,RainerPenkert",123,UnitedStatesofAmerica,7
Made in U.S.A,1/27/1967,"Mystery,Crime,Comedy","LászlóSzabó,AnnaKarina,ErnestMenzer,Jean-PierreLéaud,MarianneFaithfull",85,France,6.2
Longford,10/26/2006,"Drama,Crime,TVMovie","KateMiles,JimBroadbent,AndySerkis,SamanthaMorton,RobertPugh",88,"UnitedKingdom,UnitedStatesofAmerica",7.5
The Elegant Criminal,12/19/1990,Drama,"JeanPoiret,JacquesWeber,FrançoisPérier,DanielAuteuil,GenevièveCasile",125,France,6.2
The Devil's Pass,10/8/1959,"Adventure,Drama","JeanNégroni,",81,"France,Italy,Spain",6.7
Kandisha,3/24/2022,Horror,"NassimSiAhmed,WalidAfkir,MathildeLaMusse,SandorFuntek,BakaryDiombera",85,France,5.3
Inside Planet Earth,6/7/2009,Documentary,"RichardLintern,PatrickStewart,",90,UnitedKingdom,7.4
Dear Comrades!,9/14/2020,"History,Drama","AndreiGusev,YuliyaVysotskaya,VladislavKomarov,AlexandrGokh,YuliaBurova",120,Russia,7.4
Desolation Center,1/1/2018,Documentary,"ThurstonMoore,SteveShelley,LeeRanaldo,BlixaBargeld,MikeWatt",93,UnitedStatesofAmerica,7.4
Ballad of a White Cow,10/21/2021,Drama,"AlirezaSanifar,FaridGhobadi,MaryamMoghaddam,AvinPoorRaoufi,PouriaRahimisam",105,"Iran,France",7.1
A Happy Divorce,6/6/1975,Drama,"JeanRochefort,DanielCeccaldi,BulleOgier,EtienneBierry,AndréDussollier",102,"Denmark,France",5.3
Paul Virzi: Nocturnal Admissions,6/23/2022,Comedy,"PaulVirzi,",65,N/A,7
Trevor: The Musical,6/24/2022,"Music,Drama","AryanSimhadri,DiegoLucano,YasmeenSulieman,AvaBriglia,HoldenWilliamHagelberger",113,UnitedStatesofAmerica,5.4
Would It Kill You to Laugh?,6/24/2022,Comedy,"MeredithVieira,JohnEarly,KateBerlant,AriaSurrec,RileyVuong",53,UnitedStatesofAmerica,5.9
Glamour Girls,6/24/2022,Drama,"TemisanEmmanuel,JoselynDumas,IbrahimJammal,NseIkpe-Etim,SharonOoja",125,Nigeria,3.6
Rise,6/23/2022,Drama,"ManishDayal,YetideBadaki,DayoOkeniyi,UcheAgada,JadenOsimuwa",111,UnitedStatesofAmerica,7
The Landlord,5/20/1970,"Drama,Comedy","DianaSands,PearlBailey,LeeGrant,MelStewart,RobertKlein",112,UnitedStatesofAmerica,6.9
Shaolin Temple,12/22/1976,"Adventure,Action","ChiKuan-Chun,AlexanderFuSheng,JohnnyWangLung-Wei,WaiWang,PhilipKwokChun-Fung",126,HongKong,6.8
Shadow of the Thin Man,11/21/1941,"Mystery,Comedy,Crime","StellaAdler,WilliamPowell,AlanBaxter,SamLevene,BarryNelson",97,UnitedStatesofAmerica,7.2
"Sex, Shame &amp; Tears",6/18/1999,"Comedy,Romance,Drama","DemiánBichir,AngélicaAragón,SusanaZabaleta,JorgeSalinas,CeciliaSuárez",110,Mexico,6.5
One Good Turn,10/31/1931,Comedy,"OliverHardy,StanLaurel,'Snub'Pollard,DorothyGranger,MaryCarr",20,UnitedStatesofAmerica,7.1
Rolling on the Road,10/23/1981,Drama,"RikiyaYasuoka,YuyaUchida,RenjiIshibashi,MoekoEzawa,TessenNakahira",83,Japan,5.5
My Straight Son,11/27/2012,Drama,"ElbaEscobar,IgnacioMontes,GuillermoGarcía,HildaAbrahamz,DanielaAlvarado",114,Venezuela,7.3
Manji,7/25/1964,Drama,"KyûSazanka,EijiFunakoshi,AyakoWakao,KyôkoKishida,YûsukeKawazu",91,Japan,6.8
Lake of the Dead,12/17/1958,"Horror,Drama,Mystery,Thriller","HenkiKolstad,HennyMoan,BjørgEngh,PerLillo-Stenberg,AndréBjerke",76,Norway,6.9
Kamui,9/19/2009,"Action,Drama","Koyuki,KoichiSato,HideakiIto,KenichiMatsuyama,KaoruKobayashi",115,Japan,5.6
14-Jul,1/13/1933,"Comedy,Romance","Maximilienne,GeorgeRigaud,Annabella,GastonModot,ThomyBourdelle",86,France,7.1
Hog Wild,5/31/1930,Comedy,"OliverHardy,StanLaurel,DorothyGranger,CharlesMcMurphy,FayHolderness",19,UnitedStatesofAmerica,7.5
The Righteous,8/15/2021,"Drama,Horror","MaykoNguyen,MarkO'Brien,KateCorbett,HenryCzerny,MimiKuzyk",97,Canada,5.7
Slash/Back,6/24/2022,"Action,ScienceFiction,Thriller","TasianaShirley,AlexisWolfe,NalajossEllsworth,FrankieVincent-Wolfe,ChelseaPrusky",86,Canada,5.4
Murder at Yellowstone City,6/24/2022,"Western,Mystery","AnnaCamp,GabrielByrne,ThomasJane,NatWolff,RichardDreyfuss",126,UnitedStatesofAmerica,5
Harmony,6/24/2022,"ScienceFiction,Horror,Action","MarkFrazier,Pry'ceJaymes,MariliKateri,ElliottBales,AlexandraWehr",72,UnitedStatesofAmerica,3.3
Flux Gourmet,6/24/2022,"Drama,Comedy,Horror","ArianeLabed,AsaButterfield,MakisPapadimitriou,RichardBremmer,GwendolineChristie",111,"Russia,UnitedStatesofAmerica,UnitedKingdom",5.8
Abandoned,6/17/2022,Horror,"EmmaRoberts,KateArrington,JohnGallagherJr.,MichaelShannon,",102,UnitedStatesofAmerica,3.7
Press Play,6/16/2022,"ScienceFiction,Drama,Romance","ClaraRugaard,DannyGlover,ChristinaChang,LewisPullman,MattWalsh",85,UnitedStatesofAmerica,5.8
Beavis and Butt-Head Do the Universe,6/23/2022,"Animation,ScienceFiction,Comedy","ChrisDiamantopoulos,MikeJudge,GaryCole,NatFaxon,AndreaSavage",86,UnitedStatesofAmerica,7
A Picture Perfect Wedding,2/22/2021,"Family,TVMovie,Romance,Comedy","EmilyTennant,RayleneHarewood,TylerJohnston,LorettaWalsh,KyleeBush",85,Canada,5.6
The Tale of Genji,1/14/1966,Drama,"KotobukiHananomoto,RurikoAsaoka,KōjiWada,ChojuroHanakawa,YasukoMatsui",111,Japan,5.9
The League of Gentlemen,4/15/1960,"Comedy,Crime,Thriller","JackHawkins,RichardAttenborough,KieronMoore,BryanForbes,NigelPatrick",116,UnitedKingdom,7.3
The Child of Another,3/2/1975,"Drama,Romance","GisèleDikongue-Pipa,PhilippeAbia,ArletteDinBeli,DavidEndene,",100,Cameroon,7.1
Silk Stockings,6/28/1957,"Music,Comedy,Romance","FredAstaire,CydCharisse,JanisPaige,PeterLorre,JulesMunshin",117,UnitedStatesofAmerica,6.8
Sebastian Maniscalco: Aren't You Embarrassed?,11/14/2014,Comedy,"SebastianManiscalco,",63,UnitedStatesofAmerica,7.8
Captive's Island,7/2/1966,"Mystery,Drama,Thriller","ShimaIwashita,KinzôShin,ShogenNitta,RentarôMikuni,HôseiKomatsu",87,Japan,7
Everlasting Love,10/4/2014,"Drama,Romance,Horror","KimberleyTell,AimarVega,JoanBentallé,SonnySmith,MiguelRojas",69,Spain,4.9
Deadfall,9/11/1968,"Action,Drama,Crime","MichaelCaine,EricPortman,VladekSheybal,GiovannaRalli,DavidBuck",120,UnitedKingdom,5.7
Come Clean,9/19/1931,Comedy,"GertrudeAstor,StanLaurel,OliverHardy,MaeBusch,GordonDouglas",20,UnitedStatesofAmerica,7.2
Brats,3/22/1930,Comedy,"StanLaurel,OliverHardy,",21,UnitedStatesofAmerica,7.3
Blood on the Moon,11/11/1948,"Western,Romance,Action","CliftonYoung,RobertMitchum,PhyllisThaxter,BarbaraBelGeddes,RobertPreston",88,UnitedStatesofAmerica,6.9
Angel Guts: Red Vertigo,5/7/1988,"Thriller,Drama,Horror","MayakoKatsuragi,KazuyoEzaki,AkiraEmoto,NaotoTakenaka,AkiraOtaka",74,Japan,5.5
About Love,3/23/2017,"Romance,Drama,Thriller","AnnaChipovskaya,DmitriyPevtsov,MariyaMironova,PyotrZhuravlyov,AlekseyChadov",95,Russia,4.9
A Hole in the Head,9/15/1959,"Music,Comedy","EdwardG.Robinson,ThelmaRitter,EleanorParker,FrankSinatra,CarolynJones",120,UnitedStatesofAmerica,6.2
Royal Shakespeare Company: Cymbeline,10/31/2016,Drama,"JamesClyde,JamesCooney,HiranAbeysekera,OliverJohnstone,GillianBevan",180,UnitedKingdom,7.1
Gatlopp: Hell of a Game,6/16/2022,"Comedy,Horror","JimMahoney,EmmyRaver-Lampman,JonBass,SarunasJ.Jackson,ShelleyHennig",80,UnitedStatesofAmerica,5.9
Paul Dood’s Deadly Lunch Break,3/17/2021,"Comedy,Action,Thriller","KatherineParkinson,JohnnyVegas,TomMeeten,JarredChristmas,KevinBishop",110,UnitedKingdom,5.4
"No Mercy, No Remorse",6/23/2022,Documentary,"JohnSilvester,",77,Australia,6.1
Love &amp; Gelato,6/22/2022,"Drama,Romance,Comedy","OwenMcDonnell,TobiaDeAngelis,ValentinaLodovini,SusannaSkaggs,SaulNanni",111,UnitedStatesofAmerica,5.1
Chernobyl: The Lost Tapes,2/28/2022,Documentary,"RonaldReagan,MikhailGorbachev,",91,UnitedKingdom,8
Purple Hearts,7/29/2022,"Drama,Romance,Music","SofiaCarson,LindenAshby,ChosenJacobs,AnthonyIppolito,NicholasGalitzine",122,"UnitedStatesofAmerica,UnitedKingdom",6.7
The Bounty Men,0000-00-00,Western,"DylanHobbs,BaileyRoberts,ThomHallum,WilliamSmithWalker,BobStewart",77,UnitedStatesofAmerica,2.9
Wild Geese II,10/18/1985,"Action,Thriller","ScottGlenn,RobertWebber,EdwardFox,LaurenceOlivier,RobertFreitag",125,"Australia,UnitedKingdom",4.8
Village of the Giants,10/20/1965,ScienceFiction,"TommyKirk,BeauBridges,JohnnyCrawford,RobertRandom,TishaSterling",81,UnitedStatesofAmerica,3.6
3 Days of Terror: The Charlie Hebdo Attacks,1/6/2016,Documentary,N/A,59,France,7.5
Jesus,10/19/1979,"Drama,History","BrianDeacon,JosephShiloach,AlexanderScourby,NikoNitai,RivkaNeuman",117,UnitedStatesofAmerica,7.1
The House of Hanging,5/26/1979,"Drama,Mystery","YoshikoSakuma,MasaoKusakari,MikiSanjo,TakakoIrie,KayokoShiraishi",139,Japan,6.2
Medium,10/3/1985,Horror,"JerzyZelnik,WładysławKowalski,JerzyStuhr,GrażynaSzapołowska,JerzyNowak",98,Poland,6.4
Secret Space UFOs - In the Beginning - Part 1,5/1/2022,Documentary,"ShaneRyan,LeeLustig,CaryMartynuik,StantonFriedman,",85,UnitedStatesofAmerica,6.1
Till We Meet Again,3/21/1950,"Drama,Romance,History","EijiOkada,OsamuTakizawa,AkitakeKôno,HarukoSugimura,YoshikoKuga",110,Japan,7.1
Man with the Screaming Brain,4/3/2005,"ScienceFiction,Horror,Comedy","BruceCampbell,TedRaimi,TamaraGorski,StacyKeach,AntoinetteByron",90,"UnitedStatesofAmerica,Germany,Bulgaria",5.4
Lumière!,1/25/2017,"Documentary,History","MartinScorsese,AugusteLumière,ThierryFrémaux,LouisLumière,AndréeLumière",90,France,8.1
Hubble's Cosmic Journey,4/19/2015,Documentary,"NeildeGrasseTyson,",44,UnitedKingdom,8
Hand Rolled Cigarette,6/17/2021,"Crime,Drama,Thriller","BenYuen,TaiBo,GordonLam,ChinSiu-Ho,AaronChowChi-Kwan",101,HongKong,6.6
Dark Room,9/17/1983,"Drama,Romance","EimeiEsumi,YoshimiAshikawa,KôjiShimizu,YukiKazamatsuri,MayumiMiura",122,Japan,5.1
Charlie and His Two Chicks,11/8/1973,Comedy,"JeanneGoupil,AndréLacombe,Jean-PierreMarielle,SergeSauvion,AnnieSavarin",90,France,6.1
Blue Sunshine,11/1/1977,"Horror,Mystery,Thriller","DeborahWinters,MarkGoddard,RobertWalden,ZalmanKing,AliceGhostley",89,UnitedStatesofAmerica,5.9
Terror at the Mall,9/15/2014,"Documentary,History",N/A,60,N/A,8
Quiet Days in Clichy,5/9/1990,Drama,"BarbaraDeRossi,NigelHavers,AndrewMcCarthy,JacquesBrunet,StéphaneAudran",116,"Italy,France,Germany",4.8
Never Gonna Snow Again,10/16/2020,"Comedy,Drama","AgataKulesza,MajaOstaszewska,AlecUtgoff,ŁukaszSimlat,WeronikaRosati",116,"Poland,Germany",6.4
"Don't Cry, Peter",10/24/1964,"Comedy,War","PoldeBibič,ZlatkoŠugman,BogdanLubej,BertSotlar,MajdaPotokar",88,Yugoslavia,8.2
Mr. Pip,9/8/2012,Drama,"HughLaurie,KerryFox,EkaDarville,HealesvilleJoel,XzannjahMatsi",116,"UnitedStatesofAmerica,PapuaNewGuinea,Australia,NewZealand",7
Lipstick,4/2/1976,"Thriller,Drama","CatherineMcLeod,Mary-MargaretLewis,PeggyRea,BillZuckert,ChrisSarandon",89,UnitedStatesofAmerica,5.5
Lesson of a Dead Language,9/6/1979,"War,Drama","MałgorzataPritulak,EwaDałkowska,GustawLutkiewicz,OlgierdŁukaszewicz,MieczysławVoit",96,Poland,6.5
Golden Earrings,8/27/1947,"Adventure,Romance","MarleneDietrich,RayMilland,MurvynVye,IvanTriesault,ReinholdSchünzel",95,UnitedStatesofAmerica,6.7
God's Gun,2/1/1976,"Action,Western","RobertLipton,LeeVanCleef,JackPalance,CodyPalance,SybilDanning",97,"Italy,Israel",4.9
Day the World Ended,12/1/1955,"ScienceFiction,Horror","LoriNelson,RichardDenning,MikeConnors,PaulBirch,AdeleJergens",79,UnitedStatesofAmerica,5.4
36 Hours,11/26/1964,"War,Thriller,Drama","EvaMarieSaint,RodTaylor,JamesGarner,JohnBanner,WernerPeters",115,UnitedStatesofAmerica,7.3
Zero Avenue,6/20/2022,"Horror,Romance","BraesonHerold,AllisonSiko,NancyOzelli,BjGruber,McLeanPeterson",78,UnitedStatesofAmerica,4.1
The Black Pack: Excellence,6/22/2022,N/A,"EricBellinger,Ne-Yo,TayeDiggs,",42,UnitedStatesofAmerica,N/A
Obsessed to Death,6/8/2022,Thriller,"KathrynKohut,HollandRoden,XavierSotelo,JesseJamesReynolds,JennyItwaru",89,Canada,6.5
Joel Kim Booster: Pyschosexual,6/21/2022,Comedy,"JoelKimBooster,",67,UnitedStatesofAmerica,5.6
Learn to Swim,9/26/2021,"Romance,Drama","ThomasAntonyOlajide,EmmaFerreira,SaidaAli,JollyAmoako,",90,Canada,6.3
True Things,4/1/2022,Drama,"TomBurke,RuthWilson,HayleySquires,TomWeston-Jones,ChrisBrazier",102,UnitedKingdom,5.8
Mommy Made Me Murder,6/1/2022,"TVMovie,Thriller,Drama","KateDrummond,SeanO.Roberts,DerekScott,TysonArner,LizzieBoys",85,Canada,5.1
The Martha Mitchell Effect,1/22/2022,Documentary,"FoothillProductions,OutspokenFilms,",28,,6.7
Soulja Boy: The Movie,10/9/2011,Documentary,"SouljaBoy,Arab,Ice-T,MiamiMike,SnoopDogg",92,UnitedStatesofAmerica,5.4
Australia Says Yes,11/16/2018,Documentary,N/A,53,Australia,3.2
That Click,6/17/2020,Documentary,"NicoleKidman,SharonStone,CatherineMartin,AndyGarcía,ElleFanning",90,UnitedStatesofAmerica,7.2
Prey,8/5/2022,"ScienceFiction,Action,Horror","AmberMidthunder,MichelleThrush,StefanyMathias,JulianBlackAntelope,NelsonLeis",120,UnitedStatesofAmerica,7.2
Doom of Love,6/20/2022,"Drama,Romance","PınarDeniz,YiğitKirazcı,BoranKuzum,SedaTurkmen,",100,Turkey,4.8
WUSA,8/19/1970,Drama,"PaulNewman,JoanneWoodward,AnthonyPerkins,LaurenceHarvey,JimBoles",115,UnitedStatesofAmerica,5.5
Whatever Lola wants,12/11/2007,Drama,"LauraRamsey,AssaadBouab,AchmedAkkabi,MiliaAyache,",115,"France,Canada",6.4
Titanic: The Final Word with James Cameron,4/8/2012,"History,Documentary","DonLynch,BernardHill,MarcAbbink,JamesCameron,ParksStephenson",99,UnitedStatesofAmerica,7.6
The Pavillion Salamandre,9/16/2006,Comedy,"JoeOdagiri,MayuKitaki,YuuKashii,KanjiTsuda,YôichirôSaitô",98,Japan,5.3
The Glory Guys,7/7/1965,"Western,Drama,Romance,Action","HarvePresnell,AdamWilliams,SlimPickens,MichaelAndersonJr.,JamesCaan",112,UnitedStatesofAmerica,6.1
The Detective,5/28/1968,"Mystery,Crime,Thriller,Drama","FrankSinatra,RalphMeeker,JackKlugman,HoraceMcMahon,WilliamWindom",114,UnitedStatesofAmerica,6.5
Summer Time Machine Blues,9/3/2005,"Comedy,ScienceFiction","Eita,MunenoriNagano,DaijiroKawaoka,JuriUeno,TsuyoshiMuro",107,Japan,7.1
Double Suicide of Sonezaki,4/29/1978,"Crime,Drama","RyûdôUzaki,MeikoKaji,HisashiIgawa,SachikoHidari,ShigeoKatô",112,Japan,6.6
Padre Padrone,5/20/1977,Drama,"OmeroAntonutti,MarcellaMichelangeli,SaverioMarconi,StankoMolnar,NanniMoretti",114,Italy,7.3
Night Watcher,10/31/2008,"Horror,Mystery,Thriller","ChristopherKadish,DanielVincentGordh,KellyHuddleston,RachelOwens,AllisonTyler",93,UnitedStatesofAmerica,2.7
"Look, Up in the Sky! The Amazing Story of Superman",6/12/2006,Documentary,"RichardDonner,MargotKidder,KevinSpacey,LesleyAnnWarren,StanLee",115,UnitedStatesofAmerica,7.8
Limite,5/17/1931,"Adventure,Drama","RaulSchnoor,OlgaBreno,BrutusPedreira,TatianaRey,IolandaBernardes",120,Brazil,7.1
Lilith,1/15/1965,"Drama,Thriller,Romance","WarrenBeatty,KimHunter,AnneMeacham,PeterFonda,JamesPatterson",114,UnitedStatesofAmerica,6.8
Where the Scary Things Are,6/28/2022,Horror,"PaulCottman,MichaelCervantes,SelinaFlanscha,OliverGivens,PeterF.Cote",93,UnitedStatesofAmerica,3.1
