Name,Release_Date,Genre,Cast,Duration,Country,IMDB
Neon Lights,7/3/2022,"Horror,Thriller","BrennaCoates,BritMacRae,KimCoates,RenéEscobarJr.,DanaAbraham",90,Canada,4.1
Frank and Penelope,6/3/2022,"Thriller,Horror,Crime","CayleeCowan,LinShaye,SeanPatrickFlanery,JohnathonSchaech,DonnaD'Errico",93,UnitedStatesofAmerica,5.2
Death Hunt,7/12/2022,"Action,Thriller","RickAmsbury,MichaelCoughlan,MasonCromwell,FrankIeraci,GregJohnston",92,Canada,3.6
Curse of the Macbeths,7/11/2022,Thriller,"HarryLennix,TaylorRoberts,DevinDruid,AngusMacfadyen,KevinMcNally",133,UnitedStatesofAmerica,4.9
The Bloody Man,7/30/2020,Horror,"TuesdayKnight,MercedezVarble,LisaWilcox,DavidDaniel,DawnPhillipsFink",133,UnitedStatesofAmerica,2.8
As a Prelude to Fear,6/7/2022,Horror,"LucyDrive,FrancisMagee,LaraLemon,JamieLanglands,RogerWyatt",97,UnitedKingdom,4
Valley of the Dead,3/11/2022,"War,Horror,Comedy","AuraGarrido,MikiEsparbé,LuisCallejo,FranciscoReyes,ÁlvaroCervantes",101,Spain,5.8
How to Please a Woman,5/19/2022,Comedy,"KameronHood,TasmaWalton,SallyPhillips,ErikThomson,NinaYoung",107,Australia,6.1
For Jojo,7/11/2022,Comedy,"CaroCult,NinaGummich,",98,Germany,3.9
The Brain,11/3/1988,"ScienceFiction,Horror","CynthiaPreston,GeorgeBuza,TomBresnahan,JustineCampbell,DavidGale",94,Canada,5.2
Messalina,7/31/1960,Drama,"BelindaLee,SpirosFocás,CarloGiustini,ArturoDominici,IdaGalli",96,Italy,5.7
Hollywood Fringe,9/1/2020,"Music,Comedy","NishiMunshi,ShaughnBuchholz,CharleyKoontz,MarkFite,JustinKirk",91,UnitedStatesofAmerica,6
Hellmouth,10/17/2014,Horror,"TonyBurgess,StephenMcHattie,BoydBanks,JulianRichings,SiobhanMurphy",95,Canada,5.2
Frida Kahlo,6/15/2020,Documentary,N/A,90,UnitedKingdom,6.9
El analfabeto,9/7/1961,Comedy,"MiguelManzano,SaraGarcía,Cantinflas,MaríaTeresaRivas,LeónBarroso",128,Mexico,7.1
Don't Bother to Knock,5/28/1961,"Romance,Comedy","ElkeSommer,RichardTodd,JuneThorburn,NicoleMaurey,JudithAnderson",89,UnitedKingdom,5.1
Definition Please,8/10/2020,"Drama,Comedy","JakeChoi,SujataDay,Lalaine,LeVarBurton,AnnaKhaja",91,UnitedStatesofAmerica,5.5
Concerto: A Beethoven Journey,9/7/2015,"Music,Documentary","LeifOveAndsnes,",93,UnitedKingdom,7.9
Challenge of the Masters,5/7/1976,"Drama,Action","ChenKuan-Tai,ChiangTao,RickyHui,KongYeung,YueWong",95,HongKong,6.6
"Case of Kyoko, Case of Shuichi",8/24/2013,Drama,"TasukuEmoto,EnaKoshino,SokoWada,TaroSuwa,SakuraAndo",134,Japan,6.3
Only You Can Hear Me,10/28/2007,"Romance,Mystery","RikoNarumi,KeisukeKoide,ShinIshikawa,NanaKatase,KaoruYachigusa",107,Japan,6.5
WWE: Batista - I Walk Alone,10/19/2009,"Documentary,Action","PaulMichaelLévesque,JohnCena,DaveBautista,MarkWilliamCalaway,RandyOrton",540,UnitedStatesofAmerica,6.8
Warriors on the Field,7/7/2022,Documentary,"TarrynThomas,Michael""Sonny""Walters,MichaelO'Loughlin,",50,Australia,6.4
This Much I Know to Be True,5/11/2022,"Documentary,Music","NickCave,WarrenEllis,EarlCave,MarianneFaithfull,AndrewDominik",105,UnitedKingdom,7.8
The Road to Galena,7/8/2022,Drama,"WillBrittain,MargaretColin,BenWinchell,JayO.Sanders,JillHennessy",110,UnitedStatesofAmerica,5.4
The Prey: Legend Of Karnoctus,6/7/2022,"Horror,Thriller,Action","NickChinlund,DannyTrejo,KevinGrevioux,CleoAnthony,FahimFazli",93,UnitedStatesofAmerica,3.5
The Modern Way,7/23/2021,"Drama,Crime","JackParr,JakeHenderson,GraceLong,JordanLouis,LeonDean",88,UnitedKingdom,6.7
Ranveer vs Wild with Bear Grylls,7/8/2022,"Adventure,Family,TVMovie","RanveerSingh,BearGrylls,",70,India,6.6
Josh Gondelman: People Pleaser,6/21/2022,Comedy,"JoshGondelman,",57,UnitedStatesofAmerica,5.7
Jewel,7/8/2022,Drama,"ConnieChiume,DesmondDube,MichelleBotes,LillianDube,RobertWhitehead",80,SouthAfrica,3.3
Green Lantern: Beware My Power,7/26/2022,"ScienceFiction,Animation,Action","BrianBloom,AldisHodge,IkeAmadi,JamieGrayHyder,JimmiSimpson",83,UnitedStatesofAmerica,6
Fries! The Movie,8/10/2021,Documentary,"MalcolmGladwell,ChrissyTeigen,EricRipert,",84,N/A,5.3
1Up,7/21/2022,Comedy,"RubyRose,HariNef,ParisBerelc,TaylorZakharPerez,NicholasCoombe",100,"Canada,UnitedStatesofAmerica",2.8
Agent F.O.X.,10/30/2015,Animation,"ShiyuQiao,XuanXiaoming,HaoChen,YaohanZhang,ZhangWei",83,China,3.1
There Will Be No More Night,6/16/2021,"Documentary,War","NathalieRichard,",75,France,7.1
The World of the Drunken Master,1/1/1979,"Action,Comedy","LungFei,LiYi-Min,JackLung,YuenSiu-Tien,ChanWai-Lau",98,HongKong,5.7
The Special Relationship,5/29/2010,"Drama,TVMovie,History","DennisQuaid,HopeDavis,MichaelSheen,MarkBazeley,AdamGodley",93,"UnitedStatesofAmerica,UnitedKingdom",6.7
The 36 Deadly Styles,11/22/1979,"Action,Comedy","HwangJang-Lee,JackLung,MarkLung,BoloYeung,JeanieChang",92,"HongKong,Taiwan",5.4
Marwencol,3/12/2010,Documentary,"JulieSwarthout,EmmanuelNneji,EddaHogancamp,MarkHogancamp,JanetWikane",83,UnitedStatesofAmerica,7.5
Bloody Pit of Horror,11/28/1965,Horror,"WalterBrandi,NandoAngelini,AlfredoRizzo,RobertoMessina,GinoTurini",87,"UnitedStatesofAmerica,Italy",4.5
Bleak Moments,1/1/1971,"Drama,Comedy","AnneRaitt,EricAllan,JooliaCappleman,LizSmith,DonaldSumpter",111,UnitedKingdom,6.9
Birds Like Us,6/30/2022,"Animation,Adventure,Family","ChristopherVilliers,JimBroadbent,EllaSmith,KevinBishop,MicheleAustin",84,"BosniaandHerzegovina,UnitedKingdom,Turkey,Qatar,UnitedStatesofAmerica",5
A Reflection of Fear,2/12/1973,"Horror,Thriller","MicheleMontau,RobertShaw,SallyKellerman,MaryUre,MitchellRyan",89,UnitedStatesofAmerica,5.9
Zouzou,12/21/1934,"Music,Comedy","JeanGabin,JosephineBaker,PierreLarquey,MarcelVallée,ClaireGérard",92,France,6.4
Twilight's Last Gleaming,2/9/1977,Thriller,"RoscoeLeeBrowne,BurtLancaster,CharlesDurning,MelvynDouglas,PaulWinfield",146,UnitedStatesofAmerica,6.7
The Window,5/10/1949,"Thriller,Crime,Drama","RuthRoman,ArthurKennedy,BarbaraHale,BobbyDriscoll,CarlFaulkner",73,UnitedStatesofAmerica,7.4
The Venetian Woman,4/4/1986,"Drama,Romance","LauraAntonelli,ClaudioAmendola,JasonConnery,AnnieBelle,MonicaGuerritore",102,Italy,4.9
The Old Master,10/11/1979,"Adventure,Action","DarrellMapson,Jim-YuenYu,BillLouie,StarrHester,NgSiu-Nam",89,HongKong,5.3
The Honey Pot,5/21/1967,"Comedy,Crime,Mystery","SusanHayward,RexHarrison,EdieAdams,CliffRobertson,AdolfoCeli",125,UnitedStatesofAmerica,6.8
"That Day, on the Beach",4/11/1983,Drama,"SylviaChang,WuNien-Jen,MeiFang,HouHsiao-hsien,LeeLieh",166,Taiwan,7.6
PoliWood,7/3/2009,Documentary,"StephenBaldwin,EllenBurstyn,AnnetteBening,RachaelLeighCook,DavidCrosby",90,UnitedStatesofAmerica,6
Pink Curtain,7/23/1982,"Drama,Romance","JunMiho,MasahikoAbe,UsagiAsô,NaomiHagio,ToshioYoshikawa",70,Japan,4.9
The Last Concert,7/15/1976,"Romance,Drama","PamelaVilloresi,MariaAntoniettaBeluzzi,FrancescoD'Adda,LuciaD'Elia,RichardJohnson",94,Italy,5.9
Big Guns,8/23/1973,"Crime,Drama,Action","RichardConte,AlainDelon,GuidoAlberti,NicolettaMachiavelli,MarcPorel",113,"France,Italy",6.7
The Blonde in Edo Castle,11/18/1972,Romance,"SetsukoOgawa,SetsukoOyama,HidemiHara,HijiriAbe,KeikoTsuzuki",71,Japan,3.7
